date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:04	31474/31474	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:06%20GMT	https://www.epfundao.edu.pt/modulo/31/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/31/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:04	30457/30457	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:06%20GMT	https://www.epfundao.edu.pt/modulo/29/4	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/29/4.html	(from https://www.epfundao.edu.pt/course/4)
17:53:05	79848/79848	---M--	200	added ('OK')	image/jpeg	etag:%2253f852c1e84a59c186b19cb282611fce%22	https://www.epfundao.edu.pt/web/image/op.course/5/image?unique=16cb36f	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/web/image/op.course/5/image8957.jpg	(from https://www.epfundao.edu.pt/course/5)
17:53:05	29900/29900	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:07%20GMT	https://www.epfundao.edu.pt/modulo/1/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/1/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:05	29469/29469	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:07%20GMT	https://www.epfundao.edu.pt/modulo/2/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/2/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:06	29427/29427	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:08%20GMT	https://www.epfundao.edu.pt/modulo/13/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/13/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:06	29922/29922	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:08%20GMT	https://www.epfundao.edu.pt/modulo/4/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/4/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:07	29783/29783	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:08%20GMT	https://www.epfundao.edu.pt/modulo/5/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/5/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:07	29248/29248	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:09%20GMT	https://www.epfundao.edu.pt/modulo/3/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/3/5.html	(from https://www.epfundao.edu.pt/course/5)
17:53:07	29046/29046	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2017:54:09%20GMT	https://www.epfundao.edu.pt/modulo/82/5	C:/Os%20meus%20Sites/epf/www.epfundao.edu.pt/modulo/82/5.html	(from https://www.epfundao.edu.pt/course/5)
